angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.8999999999999999, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.7999999999999999, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.7, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.6, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.5, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.4, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.30000000000000004, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.20000000000000004, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 0.10000000000000003, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: 2.7755575615628914e-17, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.28146260697353254, j2: 0.23865505486146343, j3: -1.2197463759867482, j4: -0.47581611893907144, j5: -0.6450186411862854, j6: -0.09999999999999998, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2740879159004282, j2: 0.14889232577394684, j3: -1.0126275394578437, j4: -0.39322971425957864, j5: -0.7465297717965207, j6: -0.17378381638452023, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.26666925119014384, j2: 0.10213502462286331, j3: -0.8918357554447949, j4: -0.3529014363233156, j5: -0.8126561231186218, j6: -0.19918244218858072, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2592500599716284, j2: 0.06914242287191061, j3: -0.799043141212056, j4: -0.3243054698192078, j5: -0.86683222682128, j6: -0.21149225056078275, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2518485530314282, j2: 0.044096592621594904, j3: -0.7226780334964483, j4: -0.3018312303529245, j5: -0.9137853620285857, j6: -0.21722000024989868, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.24447906352889107, j2: 0.024435520116972843, j3: -0.6576634363577274, j4: -0.2831784774100088, j5: -0.9556040583330307, j6: -0.21903544658241228, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.23715429965176102, j2: 0.008726664527484683, j3: -0.6011719625813173, j4: -0.2671490139882963, j5: -0.9934554794891228, j6: -0.218326383009453, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.22988598246108963, j2: -0.003940701887035422, j3: -0.551412899313967, j4: -0.25303304031823576, j5: -1.028080086678594, j6: -0.21591095126285156, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.22268507755309339, j2: -0.01419462259997892, j3: -0.5071550026338227, j4: -0.24037426243821214, j5: -1.0599875420870788, j6: -0.21231122725546014, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2155618841276469, j2: -0.022493145069118564, j3: -0.4675017292984753, j4: -0.22886222037644458, j5: -1.0895494974771036, j6: -0.2078790220242838, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.20852606513554822, j2: -0.029184144303332705, j3: -0.4317720292684478, j4: -0.21827669352605347, j5: -1.117049027909147, j6: -0.2028609979625254, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.2015866514633764, j2: -0.03453993110609439, j3: -0.3994315026278261, j4: -0.2084564296451838, j5: -1.1427092719326482, j6: -0.19743534912104205, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.19475203514088732, j2: -0.03877863071102506, j3: -0.37004999080455486, j4: -0.19928037360943016, j5: -1.1667111024436103, j6: -0.19173382160217575, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.18802995909237588, j2: -0.042078097239674976, j3: -0.34327408772145096, j4: -0.19065580590479606, j5: -1.1892045757865717, j6: -0.18585560611976185, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.1814275074547828, j2: -0.04458536734946536, j3: -0.31880856956869125, j4: -0.18251052832018963, j5: -1.2103166445249856, j6: -0.17987645829872873, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.17495109867395886, j2: -0.046423319672214, j3: -0.2964034102948285, j4: -0.1747875348820473, j5: -1.230156520613395, j6: -0.17385488390329432, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.16860648257038366, j2: -0.04769551367948829, j3: -0.2758444335222243, j4: -0.16744127036949313, j5: -1.248819504030619, j6: -0.16783644857207358, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.16239874194917384, j2: -0.048489801632353266, j3: -0.2569464106533792, j4: -0.1604349376991015, j5: -1.2663897771592973, j6: -0.16185685021160381, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.15633229893541303, j2: -0.04888108893371273, j3: -0.23954785146637314, j4: -0.15373851876866046, j5: -1.282942483451959, j6: -0.1559441527180109, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.15041092595449673, j2: -0.048933487677186256, j3: -0.22350699479584865, j4: -0.14732729318483173, j5: -1.2985452996517257, j6: -0.15012043800146618, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.14463776110059726, j2: -0.04870202746995462, j3: -0.20869866877798798, j4: -0.1411807124057921, j5: -1.3132596427977015, j6: -0.14440304647996693, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.13901532751772855, j2: -0.048234036206746794, j3: -0.1950117934711606, j4: -0.13528153278271984, j5: -1.327141609566699, j6: -0.1388055213881599, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.13354555634117465, j2: -0.04757026989037712, j3: -0.18234736637445517, j4: -0.12961514063933746, j5: -1.3402427166986368, j6: -0.13333833669158815, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.1282298127019065, j2: -0.04674584815080934, j3: -0.1706168167729447, j4: -0.12416902212043601, j5: -1.3526104918006348, j6: -0.12800946478748215, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.12306892427587221, j2: -0.04579103680768855, j3: -0.1597406459212616, j4: -0.11893234375966183, j5: -1.3642889504087399, j6: -0.12282482416627216, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.1180632118583547, j2: -0.044731908187329264, j3: -0.14964729175023017, j4: -0.11389561880994631, j5: -1.3753189857591233, j6: -0.11778863615309154, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.11321252145671103, j2: -0.04359090239116012, j3: -0.14027217214662366, j4: -0.10905044074709935, j5: -1.3857386909865568, j6: -0.11290371208776882, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.10851625741924496, j2: -0.042387307318196565, j3: -0.13155687191500468, j4: -0.10438926989040727, j5: -1.3955836285875405, j6: -0.10817168677427333, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.10397341615076743, j2: -0.04113767131245163, j3: -0.1234484466005656, j4: -0.09990526236313013, j5: -1.4048870584034354, j6: -0.10359321004322855, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.09958262000405096, j2: -0.03985615939869991, j3: -0.11589882231603744, j4: -0.0955921330237201, j5: -1.4136801327209565, j6: -0.09916810536249546, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.09534215097874299, j2: -0.038554861889269564, j3: -0.10886427517587619, j4: -0.09144404579270682, j5: -1.4219920650964042, j6: -0.09489550228831538, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.09124998390356567, j2: -0.03724406248609081, j3: -0.10230497731334559, j4: -0.0874555261558487, j5: -1.4298502780067086, j6: -0.09077394795783465, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.0873038188223052, j2: -0.03593247172373518, j3: -0.0961845990327361, j4: -0.08362139166237673, j5: -1.4372805332876268, j6: -0.08680150163260318, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.08350111234797326, j2: -0.034627430600413484, j3: -0.09046995863710802, j4: -0.07993669704256325, j5: -1.4443070484459437, j6: -0.08297581540532373, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.07983910779166255, j2: -0.033335088453515724, j3: -0.08513071302057126, j4: -0.07639669120125347, j5: -1.4509526012618075, j6: -0.07929420350235317, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.07631486391230266, j2: -0.03206055850297683, j3: -0.08013908333136345, j4: -0.07299678384617382, j5: -1.457238624580414, j6: -0.07575370209685584, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.07292528217024956, j2: -0.03080805397229207, j3: -0.0754696109771704, j4: -0.06973251991270568, j5: -1.4631852927927327, j6: -0.07235112115154933, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.06966713240107963, j2: -0.029581007276073615, j3: -0.07109894001594526, j4: -0.06659956027298894, j5: -1.4688116011954633, j6: -0.06908308950573291, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.0665370768559361, j2: -0.02838217441441686, j3: -0.0670056225977378, j4: -0.06359366748341314, j5: -1.4741354391802413, j6: -0.06594609418648069, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.06353169258123657, j2: -0.0272137264229147, j3: -0.06316994462871661, j4: -0.06071069554326743, j5: -1.4791736580154597, j6: -0.0629365147418412, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.06064749213354529, j2: -0.02607732948149813, j3: -0.059573769242659155, j4: -0.05794658281802014, j5: -1.4839421338388583, j6: -0.06005065325206273, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.0578809426450673, j2: -0.024974215076674126, j3: -0.056200396006800296, j4: -0.05529734743064365, j5: -1.488455826365921, j6: -0.05728476056377056, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.05522848327171783, j2: -0.023905241433449735, j3: -0.053034434072759845, j4: -0.05275908454922523, j5: -1.4927288337309013, j6: -0.05463505920446242, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.05268654106928051, j2: -0.022870947280018036, j3: -0.05006168772070513, j4: -0.05032796510324024, j5: -1.4967744438083765, j6: -0.05209776336518644, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.050251545354042554, j2: -0.02187159887599613, j3: -0.047269052944812456, j4: -0.04800023554784075, j5: -1.5006051823092865, j6: -0.04966909628365286, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.047919940612744294, j2: -0.02090723112032846, j3: -0.04464442389744795, j4: -0.04577221836817254, j5: -1.5042328579030275, j6: -0.04734530531512295, safemode: 0, brake: 0, gripper: 1, dt: 1000
