angle: j1: 0.059, j2: -0.031, j3: -0.044, j4: -0.05, j5: -1.491, j6: -0.065, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.053, j2: -0.028, j3: -0.039, j4: -0.045, j5: -1.499, j6: -0.059, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.048, j2: -0.026, j3: -0.034, j4: -0.041, j5: -1.507, j6: -0.053, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.044, j2: -0.023, j3: -0.03, j4: -0.037, j5: -1.513, j6: -0.048, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.04, j2: -0.021, j3: -0.027, j4: -0.034, j5: -1.519, j6: -0.043, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.036, j2: -0.019, j3: -0.024, j4: -0.031, j5: -1.525, j6: -0.039, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.032, j2: -0.017, j3: -0.021, j4: -0.028, j5: -1.529, j6: -0.035, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.082, j2: -0.036, j3: -0.078, j4: -0.078, j5: -1.455, j6: -0.026, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.12, j2: -0.047, j3: -0.14, j4: -0.117, j5: -1.383, j6: -0.01, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.149, j2: -0.051, j3: -0.204, j4: -0.149, j5: -1.316, j6: 0.009, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.172, j2: -0.049, j3: -0.27, j4: -0.176, j5: -1.253, j6: 0.029, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.191, j2: -0.043, j3: -0.337, j4: -0.2, j5: -1.195, j6: 0.051, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.206, j2: -0.034, j3: -0.402, j4: -0.221, j5: -1.141, j6: 0.074, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.219, j2: -0.022, j3: -0.467, j4: -0.241, j5: -1.091, j6: 0.096, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.229, j2: -0.008, j3: -0.53, j4: -0.259, j5: -1.044, j6: 0.119, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.238, j2: 0.007, j3: -0.592, j4: -0.277, j5: -1.001, j6: 0.141, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.246, j2: 0.024, j3: -0.653, j4: -0.294, j5: -0.961, j6: 0.163, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.252, j2: 0.042, j3: -0.712, j4: -0.311, j5: -0.923, j6: 0.185, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.258, j2: 0.061, j3: -0.769, j4: -0.327, j5: -0.887, j6: 0.207, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.262, j2: 0.08, j3: -0.825, j4: -0.344, j5: -0.853, j6: 0.229, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.267, j2: 0.099, j3: -0.88, j4: -0.36, j5: -0.821, j6: 0.251, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.27, j2: 0.119, j3: -0.934, j4: -0.377, j5: -0.79, j6: 0.273, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.273, j2: 0.139, j3: -0.987, j4: -0.394, j5: -0.761, j6: 0.295, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.276, j2: 0.16, j3: -1.04, j4: -0.411, j5: -0.733, j6: 0.318, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.279, j2: 0.182, j3: -1.092, j4: -0.429, j5: -0.706, j6: 0.341, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.281, j2: 0.204, j3: -1.145, j4: -0.448, j5: -0.679, j6: 0.365, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.283, j2: 0.227, j3: -1.199, j4: -0.468, j5: -0.652, j6: 0.39, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.284, j2: 0.251, j3: -1.255, j4: -0.49, j5: -0.625, j6: 0.417, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.448, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.1, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.2, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.3, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.4, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.5, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.6, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.7, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.8, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 0.9, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.0, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.1, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.2, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.3, safemode: 0, brake: 0, gripper: 1, dt: 1000
angle: j1: 0.286, j2: 0.278, j3: -1.314, j4: -0.515, j5: -0.597, j6: 1.4, safemode: 0, brake: 0, gripper: 1, dt: 1000
